"","Print","TV","SEO","AdWords","Facebook","LinkedIn","Instagram","Snapchat","Twitter","Email"
"January",1,13,25,37,49,61,73,85,97,109
"February",2,14,26,38,50,62,74,86,98,110
"March",3,15,27,39,51,63,75,87,99,111
"April",4,16,28,40,52,64,76,88,100,112
"May",5,17,29,41,53,65,77,89,101,113
"June",6,18,30,42,54,66,78,90,102,114
"July",7,19,31,43,55,67,79,91,103,115
"August",8,20,32,44,56,68,80,92,104,116
"September",9,21,33,45,57,69,81,93,105,117
"October",10,22,34,46,58,70,82,94,106,118
"November",11,23,35,47,59,71,83,95,107,119
"December",12,24,36,48,60,72,84,96,108,120
