"","Print","TV","SEO","AdWords","Facebook","LinkedIn","Instagram","Snapchat","Twitter","Email"
"January",4,3.6,2.4,3.9,3,3.5,3.6,2.25,3.5,3.5
"February",4,3.9,2.7,3.8,4.3,3.2,2.7,1.8,3.7,3.5
"March",3.5,2.9,3.1,3.8,2.4,4.1,3.7,2.6,4.2,2.5
"April",3.8,3.1,2.4,4.4,2.4,3.8,3.7,2.5,3.6,2.9
"May",3.5,3.2,1.9,3.4,2.7,2.7,3.9,2.2,4.5,3.9
"June",4,3.2,2.7,3.4,3.4,3,4.5,2.1,3.8,4.1
"July",3.9,3.6,2,4.4,3.9,3.7,4.3,1.8,4,3.8
"August",4.2,3.3,2.8,4.2,2,3.7,3.6,1.5,4.4,4.3
"September",4.1,2.8,2.5,4.2,2.9,3.7,2.8,2.5,4,3.4
"October",3,3,3.1,4.6,3.1,3.3,3.2,2.3,2.5,3.2
"November",4.8,3.3,2.7,4.1,2.9,3.6,4.2,3,3.1,4.1
"December",4.8,4,1.9,3.7,4.2,3.6,2.6,2.9,3.6,3.7
